LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5820733,S53515ARVER-LN,4.5X3.5,RVECLIP      ,7567,5693,5820733,4410,1,16.54,15.53,56.46,,10/28/2015 2:06,
5824899,RV2667RGPR2-8P,4X4,RGPSTK       ,2281,5648,5824899,4410,1,20.04,18.16,55.15,,10/28/2015 2:06,
5826245,S61087DRCR-G2Y,3X3,DRC300LLF    ,16144,5564,5826245,4410,1,13.44,12.04,54.79,,10/28/2015 2:06,
5827989,A2313IDRGR1-CK,3X3,DRG          ,6904,5448,5827989,4410,1,13.06,12.33,54.3,,10/28/2015 2:06,
5827987,A2313IDRGR1-CK,3X3,DRG          ,10568,5448,5827987,4410,1,13.06,12.33,54.3,,10/28/2015 2:06,
5849750,PS65168RSBR1-R,5X5,RSB          ,7876,4790,5849750,4410,1,13.2,12.33,47.58,,10/28/2015 2:06,
5861791,TPS2388RTQR-C ,8X8,RTQVTT       ,3262,4636,5861791,4410,1,16.99,13.79,43.71,,10/28/2015 2:06,
5884687,202027DRSLR-G2,6X6,RSL300       ,4959,3825,5884687,4410,1,13.83,11.83,36.8,,10/28/2015 2:06,
5882318,A6203A1DRBR-LK,3X3,DRB          ,13756,3783,5882318,4410,1,13.03,12.1,37.44,,10/28/2015 2:06,
5893985,CSD87588N-NS2 ,5X2.5,MPAMCMST     ,7542,3753,5893985,4410,1,15.63,11.7,34.14,,10/28/2015 2:06,
5911650,AC7760IRHAR-CK,6X6,RHA          ,2177,3585,5911650,4410,1,19.66,12.33,29.06,,10/28/2015 2:06,
5894399,S65177RHAR1-G2,6X6,RHA300       ,4199,3555,5894399,4410,1,13.83,11.83,34.09,,10/28/2015 2:06,
5894363,202027CRSLR-G2,6X6,RSL300       ,4266,3553,5894363,4410,1,13.77,11.79,34.09,,10/28/2015 2:06,
5903374,401032DSGR1-G2,2X2,DSGST        ,24730,3550,5903374,4410,1,17.7,13.13,31.48,,10/28/2015 2:06,
5905549,PS7A7100RGTT-L,3X3,RGTST        ,13818,3379,5905549,4410,1,15.68,12.14,30.79,,10/28/2015 2:06,
5905528,62152QRGTRQ1-L,3X3,RGT          ,9617,3221,5905528,4410,1,14.34,12.38,30.79,,10/28/2015 2:06,
5859724,001DRBR1-G2QN#,3X3,DRBST300     ,5508,3158,5859724,4410,1,0,12.14,44.26,,10/28/2015 2:06,
5859727,001DRBR1-G2QN#,3X3,DRBST300     ,6115,3158,5859727,4410,1,0,12.14,44.26,,10/28/2015 2:06,
5859725,001DRBR1-G2QN#,3X3,DRBST300     ,6107,3158,5859725,4410,1,0,12.14,44.26,,10/28/2015 2:06,
5905595,PS65168RSBR1-R,5X5,RSB          ,4897,3133,5905595,4410,1,13.42,12.33,30.79,,10/28/2015 2:06,
5912986,S53211ARGTR-LK,3X3,RGT          ,9746,2920,5912986,4410,1,13.38,12.33,28.7,,10/28/2015 2:06,
5917464,MC7812SRGCR-CK,9X9,RGC          ,2398,2886,5917464,4410,1,13.79,11.83,27.45,,10/28/2015 2:06,
5917909,97376Q4M2-LQN&,4.5X3.5,DPC          ,7789,2825,5917909,4410,1,14.27,12.74,27.27,,10/28/2015 2:06,
5917918,D95375Q4M-LQN&,4.5X3.5,DPC          ,7006,2825,5917918,4410,1,14.27,12.74,27.27,,10/28/2015 2:06,
5917907,97376Q4M2-LQN&,4.5X3.5,DPC          ,7052,2825,5917907,4410,1,14.27,12.74,27.27,,10/28/2015 2:06,
5917917,D95375Q4M-LQN&,4.5X3.5,DPC          ,7734,2825,5917917,4410,1,14.27,12.74,27.27,,10/28/2015 2:06,
5917908,97376Q4M2-LQN&,4.5X3.5,DPC          ,7722,2825,5917908,4410,1,14.27,12.74,27.27,,10/28/2015 2:06,
5917919,D95375Q4M-LQN&,4.5X3.5,DPC          ,7264,2825,5917919,4410,1,14.27,12.74,27.27,,10/28/2015 2:06,
5947053,CSD87381P1-NS2,3X2.5,MPCMCMST     ,11328,2803,5947053,4410,1,16.47,11.7,23.8,,10/28/2015 2:06,
5937191,CSD87381P1-NS2,3X2.5,MPCMCMST     ,11031,2762,5937191,4410,1,18.07,11.7,21.8,,10/28/2015 2:06,
5921940,S65177RHAR1-G2,6X6,RHA300       ,5179,2753,5921940,4410,1,13.79,11.83,26.12,,10/28/2015 2:06,
5941302,AC7760IRHAR-CK,6X6,RHA          ,3749,2743,5941302,4410,1,19.67,12.33,20.64,,10/28/2015 2:06,
5941301,AC7760IRHAR-CK,6X6,RHA          ,5157,2743,5941301,4410,1,19.67,12.33,20.64,,10/28/2015 2:06,
5920809,PS40190DRCR-BY,3X3,DRCLLF       ,11151,2722,5920809,4410,1,13.21,11.9,26.46,,10/28/2015 2:06,
5925442,202027ARSLR-G2,6X6,RSL300       ,2153,2651,5925442,4410,1,13.73,11.79,25.12,,10/28/2015 2:06,
5931461,CD3211A1RGPR-L,4X4,RGPST        ,10080,2645,5931461,4410,1,15.71,12.14,23.42,,10/28/2015 2:06,
5925308,53219ARGTR-G2K,3X3,RGT300       ,13461,2563,5925308,4410,1,13.35,12.3,25.12,,10/28/2015 2:06,
5925291,S62736RGYR-G2K,3.5X3.5,RGY300       ,14813,2561,5925291,4410,1,13.32,12.29,25.12,,10/28/2015 2:06,
5928921,S65177RHAR1-G2,6X6,RHA300       ,5166,2553,5928921,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928929,S65177RHAR1-G2,6X6,RHA300       ,2589,2553,5928929,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928916,S65177RHAR1-G2,6X6,RHA300       ,5182,2553,5928916,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928915,S65177RHAR1-G2,6X6,RHA300       ,5179,2553,5928915,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928923,S65177RHAR1-G2,6X6,RHA300       ,5107,2553,5928923,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928900,S65177RHAR1-G2,6X6,RHA300       ,5181,2553,5928900,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928918,S65177RHAR1-G2,6X6,RHA300       ,4461,2553,5928918,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928919,S65177RHAR1-G2,6X6,RHA300       ,2586,2553,5928919,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928898,S65177RHAR1-G2,6X6,RHA300       ,5164,2553,5928898,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928927,S65177RHAR1-G2,6X6,RHA300       ,5179,2553,5928927,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928920,S65177RHAR1-G2,6X6,RHA300       ,5174,2553,5928920,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928902,S65177RHAR1-G2,6X6,RHA300       ,5177,2553,5928902,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928922,S65177RHAR1-G2,6X6,RHA300       ,5180,2553,5928922,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928925,S65177RHAR1-G2,6X6,RHA300       ,4637,2553,5928925,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928928,S65177RHAR1-G2,6X6,RHA300       ,4449,2553,5928928,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928926,S65177RHAR1-G2,6X6,RHA300       ,5179,2553,5928926,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5928901,S65177RHAR1-G2,6X6,RHA300       ,5179,2553,5928901,4410,1,13.79,11.83,24.12,,10/28/2015 2:06,
5926728,CC28251RGPR-CK,4X4,RGP          ,8404,2529,5926728,4410,1,13.38,12.33,24.79,,10/28/2015 2:06,
5926729,CC28251RGPR-CK,4X4,RGP          ,4994,2529,5926729,4410,1,13.38,12.33,24.79,,10/28/2015 2:06,
5936324,S62067DSGR1-G2,2X2,DSGST        ,24822,2500,5936324,4410,1,15.64,12.14,22.04,,10/28/2015 2:06,
5936326,S62067DSGR1-G2,2X2,DSGST        ,14850,2500,5936326,4410,1,15.64,12.14,22.04,,10/28/2015 2:06,
5936323,S62067DSGR1-G2,2X2,DSGST        ,22299,2500,5936323,4410,1,15.64,12.14,22.04,,10/28/2015 2:06,
5936325,S62067DSGR1-G2,2X2,DSGST        ,24827,2500,5936325,4410,1,15.64,12.14,22.04,,10/28/2015 2:06,
5936311,BQ24311DSGR-G2,2X2,DSGST        ,24675,2499,5936311,4410,1,15.6,12.11,22.04,,10/28/2015 2:06,
5928934,S54328DRCR-G2Y,3X3,DRC          ,6897,2460,5928934,4410,1,13.32,12.29,24.12,,10/28/2015 2:06,
5928933,S54328DRCR-G2Y,3X3,DRC          ,13230,2460,5928933,4410,1,13.32,12.29,24.12,,10/28/2015 2:06,
5928932,S54328DRCR-G2Y,3X3,DRC          ,13682,2460,5928932,4410,1,13.32,12.29,24.12,,10/28/2015 2:06,
5928931,S54328DRCR-G2Y,3X3,DRC          ,13568,2460,5928931,4410,1,13.32,12.29,24.12,,10/28/2015 2:06,
5928930,S54328DRCR-G2Y,3X3,DRC          ,13802,2460,5928930,4410,1,13.32,12.29,24.12,,10/28/2015 2:06,
5939285,62407QDRCRQ1-R,3X3,DRCVTT       ,7389,2450,5939285,4410,1,17.95,14.11,21.21,,10/28/2015 2:06,
5939287,62407QDRCRQ1-R,3X3,DRCVTT       ,6833,2450,5939287,4410,1,17.95,14.11,21.21,,10/28/2015 2:06,
5932627,S65177RHAR1-G2,6X6,RHA300       ,5182,2447,5932627,4410,1,13.79,11.83,23.06,,10/28/2015 2:06,
5932626,S65177RHAR1-G2,6X6,RHA300       ,5170,2447,5932626,4410,1,13.79,11.83,23.06,,10/28/2015 2:06,
5932630,S65177RHAR1-G2,6X6,RHA300       ,5159,2447,5932630,4410,1,13.79,11.83,23.06,,10/28/2015 2:06,
5932632,S65177RHAR1-G2,6X6,RHA300       ,5174,2447,5932632,4410,1,13.79,11.83,23.06,,10/28/2015 2:06,
5932629,S65177RHAR1-G2,6X6,RHA300       ,5177,2447,5932629,4410,1,13.79,11.83,23.06,,10/28/2015 2:06,
5932625,S65177RHAR1-G2,6X6,RHA300       ,5173,2447,5932625,4410,1,13.79,11.83,23.06,,10/28/2015 2:06,
5932634,S65177RHAR1-G2,6X6,RHA300       ,2585,2447,5932634,4410,1,13.79,11.83,23.06,,10/28/2015 2:06,
5932628,S65177RHAR1-G2,6X6,RHA300       ,5171,2447,5932628,4410,1,13.79,11.83,23.06,,10/28/2015 2:06,
5932633,S65177RHAR1-G2,6X6,RHA300       ,4420,2447,5932633,4410,1,13.79,11.83,23.06,,10/28/2015 2:06,
5932890,S65177RHAR1-G2,6X6,RHA300       ,5145,2438,5932890,4410,1,13.79,11.83,22.97,,10/28/2015 2:06,
5932888,S65177RHAR1-G2,6X6,RHA300       ,5183,2438,5932888,4410,1,13.79,11.83,22.97,,10/28/2015 2:06,
5932892,S65177RHAR1-G2,6X6,RHA300       ,3651,2438,5932892,4410,1,13.79,11.83,22.97,,10/28/2015 2:06,
5932891,S65177RHAR1-G2,6X6,RHA300       ,5061,2438,5932891,4410,1,13.79,11.83,22.97,,10/28/2015 2:06,
5932893,S65177RHAR1-G2,6X6,RHA300       ,2589,2438,5932893,4410,1,13.79,11.83,22.97,,10/28/2015 2:06,
5930223,A2012D2RTJR-RK,4X4,RTJ          ,4985,2420,5930223,4410,1,13.38,12.33,23.7,,10/28/2015 2:06,
5930222,A2012D2RTJR-RK,4X4,RTJ          ,5350,2420,5930222,4410,1,13.38,12.33,23.7,,10/28/2015 2:06,
5930265,PS65023RSBR1-R,5X5,RSB          ,5906,2420,5930265,4410,1,13.38,12.33,23.7,,10/28/2015 2:06,
5930506,S53211ARGTR-LK,3X3,RGT          ,13778,2417,5930506,4410,1,13.38,12.33,23.67,,10/28/2015 2:06,
5930507,S53211ARGTR-LK,3X3,RGT          ,13806,2417,5930507,4410,1,13.38,12.33,23.67,,10/28/2015 2:06,
5930503,S53211ARGTR-LK,3X3,RGT          ,13578,2417,5930503,4410,1,13.38,12.33,23.67,,10/28/2015 2:06,
5930509,S53211ARGTR-LK,3X3,RGT          ,13782,2417,5930509,4410,1,13.38,12.33,23.67,,10/28/2015 2:06,
5939759,BQ24311DSGR-G2,2X2,DSGST        ,23588,2403,5939759,4410,1,15.6,12.11,21.09,,10/28/2015 2:06,
5931360,MP513AIRSAR-CK,4X4,RSA          ,4891,2394,5931360,4410,1,13.38,12.33,23.44,,10/28/2015 2:06,
5931359,MP513AIRSAR-CK,4X4,RSA          ,7036,2394,5931359,4410,1,13.38,12.33,23.44,,10/28/2015 2:06,
5931758,S54335ADRCR-G2,3X3,DRC          ,11358,2382,5931758,4410,1,13.32,12.29,23.33,,10/28/2015 2:06,
5936310,S65177RHAR1-G2,6X6,RHA300       ,2587,2334,5936310,4410,1,13.67,11.83,22.05,,10/28/2015 2:06,
5936309,S65177RHAR1-G2,6X6,RHA300       ,4973,2334,5936309,4410,1,13.67,11.83,22.05,,10/28/2015 2:06,
5936306,S65177RHAR1-G2,6X6,RHA300       ,5182,2334,5936306,4410,1,13.67,11.83,22.05,,10/28/2015 2:06,
5936307,S65177RHAR1-G2,6X6,RHA300       ,5169,2334,5936307,4410,1,13.67,11.83,22.05,,10/28/2015 2:06,
5936596,S65177RHAR1-G2,6X6,RHA300       ,5166,2326,5936596,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936595,S65177RHAR1-G2,6X6,RHA300       ,5175,2326,5936595,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936600,S65177RHAR1-G2,6X6,RHA300       ,5173,2326,5936600,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936605,S65177RHAR1-G2,6X6,RHA300       ,5176,2326,5936605,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936601,S65177RHAR1-G2,6X6,RHA300       ,5182,2326,5936601,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936594,S65177RHAR1-G2,6X6,RHA300       ,5152,2326,5936594,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936599,S65177RHAR1-G2,6X6,RHA300       ,5178,2326,5936599,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936604,S65177RHAR1-G2,6X6,RHA300       ,5180,2326,5936604,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936598,S65177RHAR1-G2,6X6,RHA300       ,5181,2326,5936598,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936607,S65177RHAR1-G2,6X6,RHA300       ,2583,2326,5936607,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936597,S65177RHAR1-G2,6X6,RHA300       ,5148,2326,5936597,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936602,S65177RHAR1-G2,6X6,RHA300       ,5086,2326,5936602,4410,1,13.67,11.83,21.96,,10/28/2015 2:06,
5936557,202027ERSLR-G2,6X6,RSL300       ,4123,2325,5936557,4410,1,13.62,11.79,21.96,,10/28/2015 2:06,
5936555,202027ERSLR-G2,6X6,RSL300       ,5166,2325,5936555,4410,1,13.62,11.79,21.96,,10/28/2015 2:06,
5935877,S51363RVER-LNY,4.5X3.5,RVECLIP      ,6477,2293,5935877,4410,1,16.86,15.53,22.15,,10/28/2015 2:06,
5944100,PS63031DSKR-CK,2.5X2.5,DSKST        ,17887,2274,5944100,4410,1,15.64,12.14,19.79,,10/28/2015 2:06,
5937511,62152QRGTRQ1-L,3X3,RGT          ,12366,2270,5937511,4410,1,13.85,12.38,21.78,,10/28/2015 2:06,
5940008,204036RHAR1-G2,6X6,RHA300       ,5176,2230,5940008,4410,1,13.67,11.83,21.01,,10/28/2015 2:06,
5986016,PS53513RVER-LN,4.5X3.5,RVECLIP      ,7597,2222,5986016,4410,1,16.86,15.53,21.43,,10/28/2015 2:06,
5986015,PS53513RVER-LN,4.5X3.5,RVECLIP      ,4348,2222,5986015,4410,1,16.86,15.53,21.43,,10/28/2015 2:06,
5938696,PS56121BDQPR-C,6X5,DQPCLIP      ,6269,2222,5938696,4410,1,16.86,15.53,21.43,,10/28/2015 2:06,
5936672,TPS2557DRBR2-L,3X3,DRB          ,13795,2217,5936672,4410,1,12.88,12.1,21.94,,10/28/2015 2:06,
5940562,PS56121DQPR2-C,6X5,DQPCLIP      ,5537,2159,5940562,4410,1,16.86,15.53,20.8,,10/28/2015 2:06,
5939778,Q24640RVAR-G2K,3.5X3.5,RVA300       ,3341,2145,5939778,4410,1,13.2,12.29,21.09,,10/28/2015 2:06,
5939777,Q24640RVAR-G2K,3.5X3.5,RVA300       ,4680,2145,5939777,4410,1,13.2,12.29,21.09,,10/28/2015 2:06,
5939776,Q24640RVAR-G2K,3.5X3.5,RVA300       ,6701,2145,5939776,4410,1,13.2,12.29,21.09,,10/28/2015 2:06,
5939904,65633AKRTER-G2,3X3,RTE300       ,13805,2141,5939904,4410,1,13.2,12.29,21.05,,10/28/2015 2:06,
5942160,S51363RVER-LNY,4.5X3.5,RVECLIP      ,4254,2123,5942160,4410,1,16.86,15.53,20.44,,10/28/2015 2:06,
5942008,A3221AIRGVR-ZK,4X4,RGV          ,5894,2083,5942008,4410,1,13.25,12.33,20.46,,10/28/2015 2:06,
5945432,PS53624RHAT-BK,6X6,RHA          ,3755,2075,5945432,4410,1,13.67,11.83,19.46,,10/28/2015 2:06,
5942988,S53647RTAR-G2K,6X6,RTA300       ,5147,2052,5942988,4410,1,13.25,12.33,20.15,,10/28/2015 2:06,
5942989,S53647RTAR-G2K,6X6,RTA300       ,4181,2052,5942989,4410,1,13.25,12.33,20.15,,10/28/2015 2:06,
5942990,S53647RTAR-G2K,6X6,RTA300       ,2537,2052,5942990,4410,1,13.25,12.33,20.15,,10/28/2015 2:06,
5942987,S53647RTAR-G2K,6X6,RTA300       ,5176,2052,5942987,4410,1,13.25,12.33,20.15,,10/28/2015 2:06,
5942951,S54495RSAR1-G2,4X4,RSA300       ,9503,2051,5942951,4410,1,13.2,12.29,20.15,,10/28/2015 2:06,
5942952,S54495RSAR1-G2,4X4,RSA300       ,4960,2051,5942952,4410,1,13.2,12.29,20.15,,10/28/2015 2:06,
5952023,PS61161DRVR-LK,2X2,DRVST        ,15943,2042,5952023,4410,1,15.64,12.14,17.47,,10/28/2015 2:06,
5945809,54361QDPRRQ1-C,4X4,DPR          ,4989,2032,5945809,4410,1,13.85,12.38,19.4,,10/28/2015 2:06,
5945808,54361QDPRRQ1-C,4X4,DPR          ,5219,2032,5945808,4410,1,13.85,12.38,19.4,,10/28/2015 2:06,
5947013,MC7812SRGCR-CK,9X9,RGC          ,1455,2031,5947013,4410,1,13.67,11.83,19.02,,10/28/2015 2:06,
5953580,BQ29707DSER-G2,1.5X1.5,DSEST300     ,27949,2027,5953580,4410,1,16.57,12.86,17.1,,10/28/2015 2:06,
5945619,S51363RVER-LNY,4.5X3.5,RVECLIP      ,5866,2021,5945619,4410,1,16.86,15.53,19.43,,10/28/2015 2:06,
5944195,PS51518RUKR-LK,3X3,RUK          ,6863,2016,5944195,4410,1,13.22,12.3,19.79,,10/28/2015 2:06,
5944194,PS51518RUKR-LK,3X3,RUK          ,10606,2016,5944194,4410,1,13.22,12.3,19.79,,10/28/2015 2:06,
5953397,1312DRCR1-G2KY,3X3,DRCST300     ,13813,2006,5953397,4410,1,15.64,12.14,17.11,,10/28/2015 2:06,
5953399,1312DRCR1-G2KY,3X3,DRCST300     ,13817,2006,5953399,4410,1,15.64,12.14,17.11,,10/28/2015 2:06,
5953394,1312DRCR1-G2KY,3X3,DRCST300     ,13818,2006,5953394,4410,1,15.64,12.14,17.11,,10/28/2015 2:06,
5953401,1312DRCR1-G2KY,3X3,DRCST300     ,13815,2006,5953401,4410,1,15.64,12.14,17.11,,10/28/2015 2:06,
5953396,1312DRCR1-G2KY,3X3,DRCST300     ,13818,2006,5953396,4410,1,15.64,12.14,17.11,,10/28/2015 2:06,
5953398,1312DRCR1-G2KY,3X3,DRCST300     ,13819,2006,5953398,4410,1,15.64,12.14,17.11,,10/28/2015 2:06,
5944367,PS40041DRBT-B ,3X3,DRB          ,10220,2002,5944367,4410,1,12.88,12.1,19.78,,10/28/2015 2:06,
5944361,PS51117RGYR1-B,3.5X3.5,RGY          ,12890,2002,5944361,4410,1,12.88,12.1,19.78,,10/28/2015 2:06,
5962914,53515RVER2-LN#,4.5X3.5,RVECLIP      ,7736,1987,5962914,4410,1,18.72,12.74,14.44,,10/28/2015 2:06,
5962916,53515RVER2-LN#,4.5X3.5,RVECLIP      ,7765,1987,5962916,4410,1,18.72,12.74,14.44,,10/28/2015 2:06,
5962918,53515RVER2-LN#,4.5X3.5,RVECLIP      ,4902,1987,5962918,4410,1,18.72,12.74,14.44,,10/28/2015 2:06,
5962919,53515RVER2-LN#,4.5X3.5,RVECLIP      ,3869,1987,5962919,4410,1,18.72,12.74,14.44,,10/28/2015 2:06,
5945291,PS65023RSBR1-R,5X5,RSB          ,5996,1984,5945291,4410,1,13.25,12.33,19.47,,10/28/2015 2:06,
5945290,PS65023RSBR1-R,5X5,RSB          ,7910,1984,5945290,4410,1,13.25,12.33,19.47,,10/28/2015 2:06,
5945272,5633BRTER-KDG2,3X3,RTE300       ,6899,1983,5945272,4410,1,13.2,12.29,19.47,,10/28/2015 2:06,
5954563,PS62745DSSR-LK,3X2,DSSST        ,14617,1973,5954563,4410,1,15.64,12.14,16.78,,10/28/2015 2:06,
5954564,PS62745DSSR-LK,3X2,DSSST        ,14584,1973,5954564,4410,1,15.64,12.14,16.78,,10/28/2015 2:06,
5947532,D97395Q4M-LNKE,4.5X3.5,DPC          ,7524,1970,5947532,4410,1,14.24,12.8,18.8,,10/28/2015 2:06,
5963541,D97395Q4M-LNKE,4.5X3.5,DPC          ,3744,1970,5963541,4410,1,14.24,12.8,18.8,,10/28/2015 2:06,
5946478,S53647RTAR-G2K,6X6,RTA300       ,5168,1949,5946478,4410,1,13.25,12.33,19.12,,10/28/2015 2:06,
5946479,S53647RTAR-G2K,6X6,RTA300       ,4190,1949,5946479,4410,1,13.25,12.33,19.12,,10/28/2015 2:06,
5946472,S53647RTAR-G2K,6X6,RTA300       ,5158,1949,5946472,4410,1,13.25,12.33,19.12,,10/28/2015 2:06,
5946474,S53647RTAR-G2K,6X6,RTA300       ,4977,1949,5946474,4410,1,13.25,12.33,19.12,,10/28/2015 2:06,
5946471,S53647RTAR-G2K,6X6,RTA300       ,5058,1949,5946471,4410,1,13.25,12.33,19.12,,10/28/2015 2:06,
5946480,S53647RTAR-G2K,6X6,RTA300       ,2579,1949,5946480,4410,1,13.25,12.33,19.12,,10/28/2015 2:06,
5946470,S53647RTAR-G2K,6X6,RTA300       ,5148,1949,5946470,4410,1,13.25,12.33,19.12,,10/28/2015 2:06,
5946473,S53647RTAR-G2K,6X6,RTA300       ,5136,1949,5946473,4410,1,13.25,12.33,19.12,,10/28/2015 2:06,
5946475,S53647RTAR-G2K,6X6,RTA300       ,5037,1949,5946475,4410,1,13.25,12.33,19.12,,10/28/2015 2:06,
5946856,S62736RGYR-G2K,3.5X3.5,RGY300       ,7464,1938,5946856,4410,1,13.2,12.29,19.02,,10/28/2015 2:06,
5988288,S51363RVER-LNY,4.5X3.5,RVECLIP      ,77,1910,5988288,4410,1,16.86,15.53,18.31,,10/28/2015 2:06,
5957068,PS53819RGTR-RK,3X3,RGTST        ,11382,1906,5957068,4410,1,15.64,12.14,16.1,,10/28/2015 2:06,
5950432,D97395Q4M-LNKE,4.5X3.5,DPC          ,7801,1869,5950432,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950427,D97395Q4M-LNKE,4.5X3.5,DPC          ,7572,1869,5950427,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5967692,D97395Q4M-LNKE,4.5X3.5,DPC          ,4574,1869,5967692,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950423,D97395Q4M-LNKE,4.5X3.5,DPC          ,7822,1869,5950423,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950430,D97395Q4M-LNKE,4.5X3.5,DPC          ,7615,1869,5950430,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950428,D97395Q4M-LNKE,4.5X3.5,DPC          ,7820,1869,5950428,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950422,D97395Q4M-LNKE,4.5X3.5,DPC          ,7804,1869,5950422,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950421,D97395Q4M-LNKE,4.5X3.5,DPC          ,6454,1869,5950421,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950426,D97395Q4M-LNKE,4.5X3.5,DPC          ,7804,1869,5950426,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950425,D97395Q4M-LNKE,4.5X3.5,DPC          ,7747,1869,5950425,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950431,D97395Q4M-LNKE,4.5X3.5,DPC          ,7861,1869,5950431,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5950424,D97395Q4M-LNKE,4.5X3.5,DPC          ,7692,1869,5950424,4410,1,14.24,12.8,17.8,,10/28/2015 2:06,
5966318,S51363RVER-LNY,4.5X3.5,RVECLIP      ,3789,1826,5966318,4410,1,16.86,15.53,17.47,,10/28/2015 2:06,
5988289,S51363RVER-LNY,4.5X3.5,RVECLIP      ,77,1826,5988289,4410,1,16.86,15.53,17.47,,10/28/2015 2:06,
5952248,PS51518RUKR-LK,3X3,RUK          ,13767,1776,5952248,4410,1,13.22,12.3,17.38,,10/28/2015 2:06,
