LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5827984,090QRGTRQ12-G2,3X3           ,RGT300       ,     10676,      3402,5827984     ,4420,1,        17.76,      18.49,      35.3,                   ,10/09/2015 02:06:09,
5827985,090QRGTRQ12-G2,3X3           ,RGT300       ,      6605,      3402,5827985     ,4420,1,        17.76,      18.49,      35.3,                   ,10/09/2015 02:06:09,
5827983,090QRGTRQ12-G2,3X3           ,RGT300       ,     13135,      3402,5827983     ,4420,1,        17.76,      18.49,      35.3,                   ,10/09/2015 02:06:09,
5894150,090QRGTRQ12-G2,3X3           ,RGT300       ,     13665,      1511,5894150     ,4420,1,        19.01,      18.49,     15.14,                   ,10/09/2015 02:06:09,
5894151,090QRGTRQ12-G2,3X3           ,RGT300       ,     13566,      1511,5894151     ,4420,1,        19.01,      18.49,     15.14,                   ,10/09/2015 02:06:09,
5491459,4519RTER1-RQR&,3X3           ,RTEST        ,      8685,     13856,5491459     ,4410,1,        15.98,      13.06,    136.19,                   ,10/09/2015 02:06:09,
5491458,4519RTER1-RQR&,3X3           ,RTEST        ,     11443,     13856,5491458     ,4410,1,        15.98,      13.06,    136.19,                   ,10/09/2015 02:06:09,
5672538,PS65168RSBR1-R,5X5           ,RSB          ,      7704,      8599,5672538     ,4410,1,        14.78,      12.39,     84.15,                   ,10/09/2015 02:06:09,
5685945,44C20RVFT1-LN#,7X5           ,RVFCLIP      ,      3521,      8359,5685945     ,4410,1,        17.65,      12.88,     79.37,                   ,10/09/2015 02:06:09,
5685943,44C20RVFT1-LN#,7X5           ,RVFCLIP      ,      3563,      8359,5685943     ,4410,1,        17.65,      12.88,     79.37,                   ,10/09/2015 02:06:09,
5714747,2402QDRRRQ1-G2,3X3           ,DRR300ST     ,      8406,      7310,5714747     ,4410,1,        17.49,      14.15,     70.31,                   ,10/09/2015 02:06:09,
5719314,BQ24196RGER-RY,4X4           ,RGELLF       ,      7088,      7157,5719314     ,4410,1,        15.59,      12.26,     68.79,                   ,10/09/2015 02:06:09,
